epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1407,3.75394,2.78619,2.25187,0.17284,0.08641,0.05009,0.02112,3.13857,3.57343,1.95345,0.000164966,0.000164966,0.0671718
2,88.8571,2.05615,1.59037,1.43669,0.5372,0.32409,0.28755,0.16546,1.40863,2.37014,1.19043,0.000331624,0.000331624,0.0340051
3,134.366,1.62775,1.28856,1.20466,0.25625,0.4613,0.32934,0.19956,1.20957,2.50918,1.07755,0.000498245,0.000498245,0.000838381
4,180.03,1.4597,1.16929,1.12269,0.68536,0.43343,0.36706,0.23141,1.09003,4.10562,0.99552,0.000499878,0.000499878,0.000499878
5,225.652,1.36361,1.11589,1.08075,0.69597,0.40118,0.3567,0.23022,1.02586,4.67741,0.94756,0.000499783,0.000499783,0.000499783
6,269.588,1.29589,1.04781,1.03913,0.48248,0.51638,0.40953,0.27668,0.98648,1.09355,0.9174,0.000499661,0.000499661,0.000499661
7,315.569,1.24304,0.99401,1.01307,0.43417,0.54301,0.47055,0.31957,0.96891,2.78708,0.90298,0.000499512,0.000499512,0.000499512
8,361.544,1.18564,0.95213,0.98696,0.50169,0.61799,0.52071,0.35357,0.97617,1.93417,0.88522,0.000499335,0.000499335,0.000499335
9,406.764,1.18332,0.92792,0.98382,0.58414,0.64958,0.59244,0.40828,0.9385,0.82211,0.87067,0.000499132,0.000499132,0.000499132
10,452.098,1.14587,0.87981,0.97642,0.57828,0.69518,0.63084,0.44122,0.90782,2.25956,0.85707,0.000498902,0.000498902,0.000498902
11,497.299,1.1399,0.84592,0.96616,0.59461,0.68889,0.61145,0.40249,0.98123,0.98155,0.86976,0.000498644,0.000498644,0.000498644
12,541.427,1.13598,0.81711,0.96607,0.60417,0.73543,0.67226,0.47237,0.88909,1.43621,0.84771,0.00049836,0.00049836,0.00049836
13,586.642,1.10482,0.80116,0.94995,0.65829,0.69142,0.66309,0.47303,0.86583,0.98225,0.83967,0.000498048,0.000498048,0.000498048
14,631.65,1.11232,0.78038,0.94798,0.65912,0.74056,0.69518,0.48995,0.90474,1.18513,0.8397,0.00049771,0.00049771,0.00049771
15,676.369,1.08346,0.76188,0.94061,0.63086,0.74532,0.68694,0.48048,0.90686,0.93329,0.83671,0.000497345,0.000497345,0.000497345
16,719.611,1.09359,0.74498,0.94088,0.67285,0.78919,0.73333,0.51275,0.89819,0.80688,0.83446,0.000496953,0.000496953,0.000496953
17,764.547,1.08228,0.74231,0.93398,0.69338,0.79113,0.75178,0.53609,0.87318,0.71296,0.82884,0.000496534,0.000496534,0.000496534
18,809.166,1.05663,0.72089,0.93,0.6662,0.78857,0.74333,0.5225,0.88484,1.26112,0.82887,0.000496088,0.000496088,0.000496088
19,852.486,1.06709,0.71799,0.92364,0.69273,0.78719,0.77131,0.55783,0.86052,0.61384,0.82212,0.000495616,0.000495616,0.000495616
20,897.543,1.05263,0.69131,0.92263,0.71232,0.8008,0.78566,0.56717,0.85688,1.00476,0.82209,0.000495117,0.000495117,0.000495117
21,942.424,1.03756,0.67997,0.91752,0.70227,0.78972,0.76786,0.55163,0.85884,1.01533,0.81781,0.000494592,0.000494592,0.000494592
22,985.966,1.02338,0.67134,0.91648,0.74676,0.79392,0.79844,0.56851,0.86649,0.62847,0.81943,0.000494039,0.000494039,0.000494039
23,1030.71,1.03707,0.66662,0.91527,0.75215,0.81397,0.80463,0.57373,0.87809,0.79628,0.8172,0.000493461,0.000493461,0.000493461
24,1075.79,1.03381,0.66224,0.9151,0.77227,0.82383,0.83552,0.60484,0.85022,0.64539,0.81315,0.000492856,0.000492856,0.000492856
25,1120.56,1.0388,0.65637,0.91283,0.73455,0.82134,0.8139,0.58845,0.84231,0.70941,0.80771,0.000492224,0.000492224,0.000492224
26,1163.86,1.01367,0.64819,0.90724,0.77148,0.81492,0.82441,0.58937,0.86446,0.6335,0.81299,0.000491567,0.000491567,0.000491567
27,1207.47,1.02688,0.64517,0.90724,0.77734,0.83612,0.84269,0.60671,0.84664,0.71268,0.80967,0.000490883,0.000490883,0.000490883
28,1252,1.0245,0.64326,0.90301,0.81148,0.81931,0.84803,0.61334,0.85947,0.94528,0.81298,0.000490173,0.000490173,0.000490173
29,1296.96,1.00735,0.62341,0.89979,0.78596,0.81855,0.8445,0.61135,0.84143,0.56129,0.80996,0.000489437,0.000489437,0.000489437
30,1339.74,1.00701,0.62408,0.90331,0.796,0.83758,0.84509,0.60972,0.83051,0.58181,0.80283,0.000488674,0.000488674,0.000488674
31,1382.98,1.00209,0.62543,0.90357,0.78673,0.81873,0.84375,0.61928,0.81688,0.57512,0.80131,0.000487886,0.000487886,0.000487886
32,1428.35,0.98635,0.61264,0.89783,0.81718,0.82871,0.859,0.63158,0.80799,0.74798,0.79796,0.000487073,0.000487073,0.000487073
33,1474.08,1.01935,0.62255,0.9008,0.80698,0.82661,0.85919,0.62224,0.8476,0.71812,0.80864,0.000486233,0.000486233,0.000486233
34,1518.14,1.01986,0.62004,0.9035,0.79554,0.85042,0.86146,0.62043,0.85255,0.62379,0.80406,0.000485368,0.000485368,0.000485368
35,1562.11,0.99698,0.59228,0.89429,0.82524,0.84069,0.87326,0.64035,0.82926,0.65461,0.79807,0.000484477,0.000484477,0.000484477
36,1607.47,0.99957,0.59249,0.89773,0.83342,0.84199,0.87892,0.64868,0.79829,0.58985,0.79349,0.000483561,0.000483561,0.000483561
