epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0826,1.45346,1.59591,1.0575,0.35554,0.5218,0.35659,0.24949,0.87946,2.92929,0.77262,0.000327684,0.000327684,0.0675593
2,93.457,1.0937,0.88789,0.90683,0.55569,0.63282,0.57251,0.40162,0.82042,23.0799,0.75162,0.000658836,0.000658836,0.0345571
3,139.636,1.07207,0.80488,0.89356,0.56996,0.66678,0.62333,0.42205,0.85663,4.79298,0.7618,0.000987788,0.000987788,0.00155276
4,185.683,1.05979,0.75011,0.8912,0.68271,0.67909,0.68977,0.48996,0.83207,3.84697,0.76123,0.0009901,0.0009901,0.0009901
5,233.213,1.04072,0.69952,0.88887,0.72777,0.76572,0.78266,0.55953,0.78592,24.8997,0.74484,0.0009868,0.0009868,0.0009868
6,279.447,1.01725,0.67406,0.88248,0.70919,0.7319,0.76742,0.55177,0.79674,13.5209,0.74798,0.0009835,0.0009835,0.0009835
7,324.217,1.03695,0.65955,0.88364,0.75635,0.77307,0.81018,0.58203,0.79632,8.01258,0.74773,0.0009802,0.0009802,0.0009802
8,370.484,0.99379,0.62491,0.87817,0.77073,0.74407,0.79485,0.57146,0.78784,16.649,0.74685,0.0009769,0.0009769,0.0009769
9,414.805,1.00127,0.61697,0.87972,0.77949,0.80014,0.83107,0.61152,0.77171,0.89075,0.74274,0.0009736,0.0009736,0.0009736
10,461.251,0.98826,0.60821,0.87669,0.83573,0.80638,0.87047,0.63764,0.75003,10.3279,0.73504,0.0009703,0.0009703,0.0009703
11,507.139,1.01474,0.5999,0.87931,0.82879,0.84241,0.88468,0.65233,0.75429,3.71408,0.73887,0.000967,0.000967,0.000967
12,554.31,0.98664,0.58898,0.87469,0.83947,0.82991,0.87843,0.65217,0.74595,4.14858,0.73496,0.0009637,0.0009637,0.0009637
13,599.025,0.9782,0.57636,0.86988,0.68132,0.75015,0.67091,0.50096,0.76033,544.731,0.73758,0.0009604,0.0009604,0.0009604
14,645.827,0.99258,0.57241,0.87684,0.83056,0.8546,0.90325,0.67007,0.74241,4.78697,0.73408,0.0009571,0.0009571,0.0009571
15,692.523,0.97516,0.57006,0.87128,0.84073,0.85198,0.8925,0.66565,0.73524,1.91861,0.73273,0.0009538,0.0009538,0.0009538
16,737.211,0.95374,0.53582,0.86708,0.85312,0.84907,0.9063,0.67383,0.73103,0.86401,0.73149,0.0009505,0.0009505,0.0009505
17,783.697,0.96361,0.54707,0.86797,0.86635,0.85459,0.90898,0.67789,0.73899,0.46965,0.73277,0.0009472,0.0009472,0.0009472
18,830.579,0.96362,0.55045,0.86625,0.87136,0.84426,0.90592,0.66353,0.76659,1.12015,0.73751,0.0009439,0.0009439,0.0009439
19,876.449,0.97649,0.55146,0.87073,0.82861,0.86446,0.90499,0.66451,0.77576,3.40297,0.74449,0.0009406,0.0009406,0.0009406
20,921.776,0.95359,0.53497,0.87018,0.85624,0.86457,0.91208,0.6772,0.74499,1.48816,0.73192,0.0009373,0.0009373,0.0009373
21,965.999,0.95456,0.53955,0.86558,0.83884,0.8604,0.90729,0.67117,0.74832,4.20491,0.73368,0.000934,0.000934,0.000934
22,1010.22,0.94548,0.52588,0.86735,0.85234,0.84783,0.91248,0.68238,0.72744,103.776,0.73325,0.0009307,0.0009307,0.0009307
23,1056.89,0.94848,0.52676,0.86916,0.84142,0.87306,0.89974,0.66966,0.73848,2.11292,0.73164,0.0009274,0.0009274,0.0009274
24,1101.89,0.9661,0.52883,0.8705,0.84219,0.86757,0.91307,0.66805,0.76423,1.25204,0.73841,0.0009241,0.0009241,0.0009241
25,1146.29,0.96677,0.53453,0.87033,0.87256,0.8677,0.92044,0.68242,0.7513,0.51306,0.73328,0.0009208,0.0009208,0.0009208
26,1192.42,0.92596,0.50917,0.86195,0.84881,0.88032,0.92268,0.68309,0.75261,0.88551,0.73218,0.0009175,0.0009175,0.0009175
27,1238.37,0.93297,0.50236,0.86032,0.89899,0.87598,0.93438,0.71361,0.70109,0.43107,0.724,0.0009142,0.0009142,0.0009142
28,1286.09,0.92485,0.4926,0.86109,0.87723,0.87885,0.92739,0.68541,0.75579,0.42237,0.73366,0.0009109,0.0009109,0.0009109
29,1331.27,0.92428,0.49254,0.86253,0.89299,0.87824,0.93126,0.69502,0.73632,0.56387,0.73067,0.0009076,0.0009076,0.0009076
30,1375.34,0.94542,0.51333,0.86191,0.86517,0.87811,0.92681,0.69452,0.72831,0.8454,0.72943,0.0009043,0.0009043,0.0009043
31,1419.58,0.9483,0.505,0.8638,0.88203,0.86491,0.92283,0.6859,0.74763,0.5357,0.7328,0.000901,0.000901,0.000901
32,1463.82,0.91989,0.47932,0.86194,0.88492,0.87885,0.93049,0.70046,0.73215,2.34755,0.72999,0.0008977,0.0008977,0.0008977
33,1507.89,0.9323,0.50151,0.86152,0.8739,0.87096,0.92291,0.69751,0.71848,0.539,0.72639,0.0008944,0.0008944,0.0008944
34,1554.43,0.94705,0.50695,0.86403,0.88428,0.89341,0.93516,0.71196,0.70748,0.76488,0.72555,0.0008911,0.0008911,0.0008911
35,1598.65,0.92863,0.4929,0.85916,0.88865,0.88998,0.93986,0.71288,0.71683,0.47576,0.72701,0.0008878,0.0008878,0.0008878
36,1643.1,0.92476,0.48497,0.86107,0.88737,0.89026,0.93954,0.70997,0.72023,0.67379,0.72687,0.0008845,0.0008845,0.0008845
37,1687.8,0.91437,0.4848,0.85691,0.91315,0.86347,0.93839,0.69285,0.74849,0.97302,0.73159,0.0008812,0.0008812,0.0008812
38,1732.33,0.92145,0.4854,0.85999,0.88678,0.88227,0.93474,0.70134,0.72874,2.07204,0.72761,0.0008779,0.0008779,0.0008779
39,1777.35,0.92876,0.49387,0.85838,0.88085,0.89962,0.93774,0.71051,0.71334,0.82988,0.72595,0.0008746,0.0008746,0.0008746
40,1823.22,0.92467,0.48189,0.85885,0.88757,0.88959,0.93797,0.68569,0.79103,0.69248,0.7421,0.0008713,0.0008713,0.0008713
41,1867.38,0.93495,0.49091,0.85738,0.89198,0.88395,0.94111,0.71086,0.73663,0.6905,0.7289,0.000868,0.000868,0.000868
42,1911.89,0.91335,0.47107,0.85952,0.8815,0.90069,0.94391,0.72273,0.7023,0.63959,0.72273,0.0008647,0.0008647,0.0008647
