epoch,train_loss,val_map50,val_map50_95,precision,recall,true_positives,false_positives,false_negatives,lr
1,50.8324,0.0003,0.0002,0.0012,0.2281,289,244995,978,0.010000
2,26.3667,0.0008,0.0005,0.0020,0.3852,488,245184,779,0.010000
3,20.1904,0.0012,0.0007,0.0025,0.4846,614,245138,653,0.010000
4,16.8545,0.0018,0.0011,0.0031,0.5935,752,245016,515,0.010000
5,14.8790,0.0021,0.0013,0.0033,0.6433,815,244964,452,0.010000
6,5.6033,0.0050,0.0030,0.0052,0.9716,1231,236359,36,0.010000
7,3.5821,0.0052,0.0031,0.0053,0.9842,1247,236065,20,0.010000
8,3.1278,0.0053,0.0032,0.0054,0.9913,1256,232992,11,0.010000
9,2.8404,0.0053,0.0032,0.0053,0.9929,1258,236281,9,0.010000
10,2.6328,0.0053,0.0032,0.0053,0.9953,1261,237005,6,0.010000
11,2.4645,0.0052,0.0031,0.0053,0.9929,1258,236734,9,0.010000
12,2.3298,0.0053,0.0032,0.0053,0.9953,1261,236444,6,0.010000
13,2.2162,0.0053,0.0032,0.0053,0.9961,1262,235547,5,0.010000
14,2.1171,0.0054,0.0032,0.0054,0.9961,1262,232404,5,0.010000
15,2.0400,0.0054,0.0033,0.0055,0.9953,1261,229348,6,0.010000
16,1.9673,0.0056,0.0034,0.0056,0.9953,1261,222952,6,0.010000
17,1.8918,0.0060,0.0036,0.0060,0.9976,1264,208094,3,0.010000
18,1.8333,0.0063,0.0038,0.0063,0.9945,1260,198171,7,0.010000
19,1.7758,0.0070,0.0042,0.0070,0.9945,1260,178880,7,0.010000
20,1.7251,0.0075,0.0045,0.0075,0.9937,1259,165521,8,0.010000
21,1.6720,0.0085,0.0051,0.0085,0.9976,1264,146615,3,0.010000
22,1.6274,0.0092,0.0055,0.0093,0.9953,1261,134492,6,0.010000
23,1.5885,0.0099,0.0059,0.0099,0.9968,1263,125944,4,0.010000
24,1.5424,0.0108,0.0065,0.0109,0.9929,1258,114638,9,0.010000
25,1.5045,0.0111,0.0067,0.0112,0.9937,1259,111428,8,0.010000
26,1.4735,0.0124,0.0074,0.0125,0.9961,1262,100019,5,0.010000
27,1.4326,0.0134,0.0081,0.0135,0.9945,1260,91930,7,0.010000
28,1.4013,0.0154,0.0092,0.0155,0.9953,1261,80274,6,0.010000
29,1.3699,0.0160,0.0096,0.0160,0.9976,1264,77729,3,0.010000
30,1.3367,0.0163,0.0098,0.0164,0.9968,1263,75815,4,0.010000
31,1.3093,0.0179,0.0108,0.0180,0.9953,1261,68763,6,0.010000
32,1.2833,0.0195,0.0117,0.0196,0.9945,1260,63011,7,0.010000
33,1.2503,0.0209,0.0125,0.0210,0.9953,1261,58902,6,0.010000
34,1.2258,0.0215,0.0129,0.0216,0.9937,1259,57057,8,0.010000
35,1.1987,0.0222,0.0133,0.0224,0.9945,1260,55075,7,0.010000
36,1.1699,0.0253,0.0152,0.0254,0.9937,1259,48275,8,0.010000
37,1.1477,0.0272,0.0163,0.0274,0.9945,1260,44795,7,0.010000
38,1.1252,0.0266,0.0160,0.0268,0.9913,1256,45542,11,0.010000
39,1.1003,0.0272,0.0163,0.0274,0.9937,1259,44670,8,0.010000
