epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.529915,0.140667,2.098552,0.311688,0.000200
2,2.061095,0.297565,2.718380,0.476190,0.000400
3,1.883103,0.388638,1.863486,0.437229,0.000600
4,1.714138,0.432822,1.461182,0.575758,0.000800
5,1.679205,0.459874,1.707069,0.549784,0.001000
6,1.653264,0.470694,1.603494,0.467532,0.001200
7,1.528500,0.536519,2.371884,0.471861,0.001400
8,1.471987,0.544635,1.102818,0.705628,0.001600
9,1.421216,0.562669,1.449350,0.649351,0.001800
10,1.349816,0.586114,1.169791,0.666667,0.002000
11,1.428291,0.565374,1.196782,0.632035,0.002000
12,1.320893,0.593327,1.184567,0.688312,0.002000
13,1.251393,0.625789,1.454669,0.610390,0.002000
14,1.182632,0.668170,1.123142,0.675325,0.002000
15,1.150574,0.679892,0.926567,0.753247,0.002000
16,1.046888,0.704238,0.744813,0.844156,0.002000
17,0.994538,0.745717,0.852910,0.852814,0.002000
18,1.004093,0.734896,2.062155,0.623377,0.002000
19,0.940461,0.764653,0.680870,0.861472,0.002000
20,0.961268,0.754734,0.967613,0.766234,0.002000
21,0.946994,0.748422,0.992469,0.796537,0.002000
22,0.933725,0.752029,1.178909,0.744589,0.002000
23,0.894671,0.765555,1.116288,0.757576,0.002000
24,0.887982,0.778179,0.873759,0.805195,0.002000
25,0.803058,0.815149,1.375148,0.744589,0.002000
26,0.831627,0.812444,0.691119,0.887446,0.002000
27,0.754511,0.832281,0.692272,0.900433,0.001000
28,0.649908,0.881876,0.617851,0.909091,0.001000
29,0.648117,0.876465,0.609863,0.900433,0.001000
30,0.625849,0.877367,0.618714,0.904762,0.001000
31,0.621605,0.892696,0.587376,0.904762,0.001000
32,0.614721,0.899008,0.633170,0.900433,0.001000
33,0.617505,0.899910,0.700122,0.870130,0.001000
34,0.602614,0.893598,0.645104,0.913420,0.001000
35,0.581459,0.914337,0.604536,0.926407,0.001000
36,0.595702,0.908927,0.678081,0.896104,0.001000
37,0.607487,0.899008,0.692471,0.913420,0.001000
38,0.596492,0.899008,0.617222,0.926407,0.001000
39,0.541755,0.932372,0.569758,0.956710,0.001000
40,0.568781,0.908025,0.727991,0.883117,0.001000
41,0.628284,0.888188,0.552360,0.917749,0.001000
42,0.603241,0.901713,0.602164,0.917749,0.001000
43,0.618649,0.882777,0.661466,0.896104,0.001000
44,0.626829,0.894500,0.738230,0.883117,0.001000
45,0.633682,0.890893,0.583458,0.922078,0.001000
46,0.597703,0.908927,0.662048,0.896104,0.001000
47,0.645140,0.877367,0.652013,0.904762,0.001000
48,0.599687,0.897205,0.543637,0.939394,0.001000
49,0.607604,0.889089,0.563463,0.943723,0.001000
50,0.550172,0.909829,0.585027,0.939394,0.001000
51,0.578413,0.898106,0.588908,0.930736,0.001000
52,0.527257,0.926060,0.877257,0.844156,0.001000
53,0.532768,0.926060,0.705032,0.883117,0.001000
54,0.534243,0.923354,0.547093,0.935065,0.001000
55,0.539114,0.929666,0.576835,0.930736,0.001000
56,0.521718,0.929666,0.672229,0.896104,0.000500
57,0.509701,0.940487,0.556148,0.952381,0.000500
58,0.446813,0.962128,0.509744,0.948052,0.000500
59,0.460268,0.958521,0.526956,0.935065,0.000500
