epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.473730,0.126240,2.064806,0.303030,0.000100
2,2.161489,0.280433,3.033895,0.389610,0.000200
3,1.991577,0.359784,1.858648,0.471861,0.000300
4,1.884917,0.394950,1.866953,0.489177,0.000400
5,1.808737,0.451758,1.933625,0.584416,0.000500
6,1.685082,0.501353,1.496452,0.610390,0.000600
7,1.743180,0.490532,1.574831,0.640693,0.000700
8,1.551338,0.568079,1.505201,0.623377,0.000800
9,1.576715,0.540126,1.265497,0.692641,0.000900
10,1.436882,0.596934,1.313419,0.722944,0.001000
11,1.513997,0.588819,1.109047,0.783550,0.001000
12,1.435922,0.599639,1.116662,0.753247,0.001000
13,1.300537,0.674482,1.394652,0.670996,0.001000
14,1.261352,0.686204,1.570994,0.701299,0.001000
15,1.218343,0.707845,1.015296,0.852814,0.001000
16,1.168569,0.743913,0.941430,0.835498,0.001000
17,1.090786,0.760144,1.044422,0.809524,0.001000
18,1.126213,0.738503,0.986146,0.857143,0.001000
19,1.043730,0.780884,1.016470,0.852814,0.001000
20,1.028899,0.805230,0.976984,0.852814,0.001000
21,1.050911,0.783589,1.016059,0.813853,0.001000
22,1.006215,0.812444,0.890462,0.896104,0.001000
23,1.022602,0.800721,0.943835,0.887446,0.001000
24,1.000897,0.807935,0.845153,0.891775,0.001000
25,0.966992,0.825068,0.885703,0.874459,0.001000
26,0.984426,0.811542,0.824186,0.909091,0.001000
27,0.939286,0.842200,0.851415,0.887446,0.001000
28,0.919729,0.858431,0.783068,0.935065,0.001000
29,0.909052,0.855726,0.794340,0.930736,0.001000
30,0.874492,0.864743,0.970454,0.861472,0.001000
31,0.892291,0.858431,0.794759,0.913420,0.001000
32,0.933720,0.838593,0.798243,0.922078,0.001000
33,0.846624,0.878269,0.811193,0.913420,0.001000
34,0.920956,0.846709,0.820783,0.913420,0.001000
35,0.865967,0.869252,0.911188,0.887446,0.001000
36,0.840375,0.878269,0.798046,0.913420,0.000500
37,0.754172,0.920649,0.743903,0.943723,0.000500
38,0.740211,0.929666,0.756237,0.930736,0.000500
39,0.727182,0.932372,0.748216,0.935065,0.000500
40,0.686636,0.957619,0.803417,0.930736,0.000500
41,0.703367,0.943192,0.725026,0.948052,0.000500
42,0.709569,0.941389,0.781075,0.943723,0.000500
43,0.715080,0.941389,0.786579,0.917749,0.000500
44,0.711354,0.943192,0.725886,0.935065,0.000500
45,0.714878,0.942290,0.757387,0.948052,0.000500
46,0.701565,0.940487,0.750820,0.939394,0.000500
47,0.711908,0.946799,0.807268,0.930736,0.000500
48,0.696586,0.952209,0.775675,0.948052,0.000500
49,0.681293,0.955816,0.762408,0.930736,0.000250
50,0.674098,0.952209,0.718477,0.952381,0.000250
51,0.671525,0.960325,0.805547,0.926407,0.000250
52,0.643714,0.970243,0.687977,0.961039,0.000250
53,0.652560,0.975654,0.703263,0.961039,0.000250
54,0.627012,0.980162,0.694030,0.956710,0.000250
55,0.606607,0.987376,0.699837,0.956710,0.000250
56,0.610697,0.983769,0.713115,0.961039,0.000250
57,0.614247,0.981966,0.718239,0.952381,0.000250
58,0.624091,0.977457,0.705494,0.961039,0.000250
59,0.603381,0.988278,0.722685,0.943723,0.000250
60,0.610632,0.985573,0.727586,0.935065,0.000125
61,0.601475,0.990081,0.678067,0.956710,0.000125
62,0.596029,0.987376,0.673161,0.956710,0.000125
63,0.590317,0.994590,0.681095,0.956710,0.000125
64,0.587040,0.992786,0.685535,0.952381,0.000125
65,0.576776,0.995491,0.679654,0.952381,0.000125
66,0.581386,0.989179,0.681746,0.961039,0.000125
67,0.580547,0.992786,0.705552,0.948052,0.000125
68,0.587197,0.991885,0.695945,0.948052,0.000125
69,0.578253,0.990983,0.684889,0.965368,0.000125
70,0.578715,0.990983,0.673264,0.956710,0.000063
71,0.571529,0.992786,0.660020,0.965368,0.000063
72,0.567596,0.995491,0.658822,0.969697,0.000063
73,0.563712,0.997295,0.660064,0.969697,0.000063
74,0.556814,0.998197,0.660147,0.969697,0.000063
75,0.555821,0.997295,0.664213,0.969697,0.000063
76,0.558927,0.997295,0.648762,0.965368,0.000063
77,0.556732,0.996393,0.639291,0.974026,0.000063
78,0.563356,0.995491,0.660093,0.965368,0.000063
79,0.556885,0.996393,0.660521,0.974026,0.000063
80,0.558028,0.996393,0.651411,0.969697,0.000063
81,0.556751,0.995491,0.664733,0.969697,0.000063
82,0.561854,0.997295,0.665345,0.974026,0.000063
83,0.558801,0.997295,0.679861,0.965368,0.000063
84,0.557429,0.995491,0.700596,0.948052,0.000063
85,0.564229,0.993688,0.681412,0.961039,0.000031
86,0.547797,0.999098,0.659075,0.965368,0.000031
87,0.546934,0.999098,0.662095,0.965368,0.000031
88,0.549719,0.995491,0.664172,0.965368,0.000031
89,0.545851,1.000000,0.669181,0.965368,0.000031
90,0.547951,0.996393,0.660896,0.965368,0.000031
91,0.543242,0.999098,0.661694,0.965368,0.000031
92,0.545906,0.999098,0.645623,0.965368,0.000031
93,0.546572,0.998197,0.665155,0.965368,0.000016
94,0.542019,0.999098,0.654315,0.965368,0.000016
95,0.544113,0.998197,0.647344,0.969697,0.000016
96,0.542798,0.998197,0.651649,0.965368,0.000016
97,0.540856,0.999098,0.648286,0.974026,0.000016
98,0.544896,0.997295,0.638547,0.974026,0.000016
99,0.544435,0.999098,0.642186,0.974026,0.000016
100,0.537874,0.999098,0.640988,0.969697,0.000016
101,0.540507,0.999098,0.637677,0.982684,0.000016
102,0.543169,1.000000,0.649841,0.974026,0.000016
103,0.542674,0.997295,0.646293,0.978355,0.000016
104,0.538752,0.999098,0.640053,0.982684,0.000016
105,0.538324,0.999098,0.638776,0.974026,0.000016
106,0.543280,0.998197,0.642477,0.974026,0.000016
107,0.541738,0.998197,0.648755,0.969697,0.000016
108,0.540264,0.999098,0.641454,0.974026,0.000016
109,0.539593,0.996393,0.640252,0.978355,0.000008
110,0.539512,0.998197,0.642630,0.978355,0.000008
111,0.540639,1.000000,0.646504,0.969697,0.000008
112,0.543277,0.998197,0.640195,0.978355,0.000008
113,0.536176,1.000000,0.642236,0.978355,0.000008
114,0.540356,0.999098,0.640766,0.969697,0.000008
115,0.542119,0.999098,0.641880,0.978355,0.000008
116,0.536513,1.000000,0.643217,0.978355,0.000008
117,0.538984,0.999098,0.644161,0.974026,0.000004
118,0.536637,0.999098,0.637015,0.974026,0.000004
119,0.537933,0.999098,0.638673,0.982684,0.000004
120,0.538288,1.000000,0.636612,0.978355,0.000004
121,0.540318,1.000000,0.649853,0.974026,0.000004
122,0.537854,0.999098,0.657765,0.956710,0.000004
123,0.539572,0.996393,0.633604,0.978355,0.000004
