epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.489084,0.126240,2.091508,0.277056,0.000100
2,2.240380,0.265104,1.938183,0.419913,0.000200
3,2.061863,0.327322,2.468116,0.428571,0.000300
4,1.873788,0.439134,1.750771,0.515152,0.000400
5,1.775610,0.450857,1.581079,0.601732,0.000500
6,1.615666,0.515780,1.309891,0.666667,0.000600
7,1.572486,0.541930,1.327074,0.649351,0.000700
8,1.598290,0.532011,1.421291,0.597403,0.000800
9,1.529380,0.552750,1.666246,0.623377,0.000900
10,1.448249,0.591524,1.180114,0.696970,0.001000
11,1.384159,0.616772,1.677014,0.584416,0.001000
12,1.342205,0.642922,1.277105,0.740260,0.001000
13,1.262722,0.671776,1.180565,0.766234,0.001000
14,1.241633,0.690712,1.123919,0.714286,0.001000
15,1.198429,0.711452,1.117660,0.744589,0.001000
16,1.170002,0.721371,1.120870,0.809524,0.001000
17,1.108465,0.756537,1.193439,0.779221,0.001000
18,1.182733,0.735798,0.942401,0.822511,0.001000
19,1.113916,0.758341,1.069093,0.809524,0.001000
20,1.120108,0.753832,0.944394,0.870130,0.001000
21,0.991063,0.808837,0.830919,0.904762,0.001000
22,0.987239,0.809739,1.151986,0.822511,0.001000
23,0.989050,0.808837,0.909548,0.887446,0.001000
24,0.971599,0.828674,0.976500,0.870130,0.001000
25,0.946340,0.828674,0.862048,0.909091,0.001000
26,0.947316,0.840397,0.890077,0.891775,0.001000
27,0.935612,0.843102,0.929268,0.865801,0.001000
28,0.952822,0.828674,0.781032,0.922078,0.001000
29,0.961086,0.822362,0.830264,0.909091,0.001000
30,0.943521,0.858431,0.981975,0.874459,0.001000
31,0.970070,0.821461,0.912889,0.865801,0.001000
32,0.870874,0.861136,1.125913,0.852814,0.001000
33,0.895597,0.863841,0.871226,0.891775,0.001000
34,0.854818,0.873760,0.795260,0.930736,0.001000
35,0.827886,0.890893,0.793142,0.917749,0.001000
36,0.812221,0.891794,0.857676,0.896104,0.000500
37,0.767382,0.919748,0.788331,0.926407,0.000500
38,0.746601,0.927863,0.822930,0.935065,0.000500
39,0.744348,0.921551,0.702040,0.965368,0.000500
40,0.725530,0.938683,0.741233,0.956710,0.000500
41,0.691929,0.948602,0.746672,0.956710,0.000500
42,0.712506,0.935077,0.727499,0.935065,0.000500
43,0.693478,0.948602,0.745885,0.935065,0.000500
44,0.710708,0.943192,0.791208,0.922078,0.000500
45,0.714846,0.935978,0.765647,0.943723,0.000500
46,0.686247,0.954013,0.732963,0.939394,0.000500
47,0.687116,0.944995,0.745459,0.948052,0.000250
48,0.649214,0.968440,0.695867,0.961039,0.000250
49,0.626942,0.977457,0.707171,0.961039,0.000250
50,0.641482,0.963030,0.725727,0.956710,0.000250
51,0.629568,0.981064,0.707643,0.961039,0.000250
52,0.625586,0.973850,0.693398,0.956710,0.000250
53,0.634133,0.972047,0.703397,0.956710,0.000250
54,0.621507,0.972949,0.708774,0.943723,0.000250
55,0.619229,0.976555,0.693969,0.939394,0.000250
56,0.609277,0.976555,0.702781,0.961039,0.000250
57,0.611426,0.981064,0.705959,0.956710,0.000250
58,0.620386,0.972949,0.689462,0.943723,0.000250
59,0.621051,0.973850,0.691799,0.952381,0.000250
60,0.597539,0.983769,0.692503,0.969697,0.000250
61,0.594828,0.984671,0.691095,0.956710,0.000250
62,0.607787,0.978359,0.734678,0.948052,0.000250
63,0.612933,0.978359,0.721114,0.943723,0.000250
64,0.606456,0.981064,0.689266,0.956710,0.000250
65,0.600162,0.985573,0.731972,0.952381,0.000250
66,0.605876,0.982867,0.685120,0.952381,0.000250
67,0.620482,0.970243,0.708575,0.961039,0.000250
68,0.609177,0.979261,0.711618,0.956710,0.000250
69,0.618974,0.972949,0.693541,0.948052,0.000250
70,0.615604,0.973850,0.688082,0.939394,0.000250
71,0.626554,0.970243,0.717509,0.952381,0.000250
72,0.609644,0.981966,0.748240,0.922078,0.000250
73,0.598765,0.982867,0.700320,0.935065,0.000250
74,0.594732,0.977457,0.711127,0.952381,0.000125
75,0.582884,0.980162,0.652974,0.965368,0.000125
76,0.571022,0.990983,0.665953,0.961039,0.000125
77,0.573209,0.985573,0.683750,0.952381,0.000125
78,0.572281,0.987376,0.660892,0.961039,0.000125
79,0.560104,0.991885,0.659645,0.956710,0.000125
80,0.564281,0.993688,0.680926,0.948052,0.000125
81,0.556314,0.996393,0.662259,0.956710,0.000125
82,0.560322,0.992786,0.679853,0.956710,0.000125
83,0.552791,0.995491,0.687646,0.952381,0.000063
84,0.549405,0.994590,0.636335,0.965368,0.000063
85,0.543041,0.996393,0.658902,0.969697,0.000063
86,0.543659,0.995491,0.640786,0.969697,0.000063
87,0.537241,0.998197,0.637313,0.965368,0.000063
88,0.540443,0.999098,0.630007,0.961039,0.000063
89,0.547511,0.994590,0.635447,0.965368,0.000063
90,0.540044,0.998197,0.638348,0.965368,0.000063
91,0.545533,0.994590,0.655282,0.956710,0.000063
92,0.536551,0.997295,0.639939,0.961039,0.000063
93,0.543200,0.993688,0.663652,0.956710,0.000063
94,0.544164,0.998197,0.660938,0.961039,0.000063
95,0.540910,0.994590,0.645461,0.965368,0.000063
96,0.533089,0.999098,0.644754,0.961039,0.000031
97,0.534055,0.997295,0.648044,0.956710,0.000031
98,0.531588,0.996393,0.644351,0.961039,0.000031
99,0.534412,0.998197,0.632599,0.974026,0.000031
100,0.533931,0.997295,0.637335,0.969697,0.000031
101,0.530639,0.999098,0.631179,0.969697,0.000031
102,0.529673,0.994590,0.630525,0.965368,0.000031
103,0.530383,0.998197,0.636948,0.961039,0.000031
104,0.531840,0.997295,0.637943,0.965368,0.000016
105,0.532063,0.998197,0.632436,0.969697,0.000016
106,0.525967,0.997295,0.641250,0.965368,0.000016
107,0.526956,0.998197,0.635555,0.956710,0.000016
108,0.529408,0.999098,0.644266,0.965368,0.000016
109,0.525626,0.998197,0.636519,0.961039,0.000016
110,0.530638,0.997295,0.641451,0.965368,0.000016
111,0.527405,0.999098,0.635481,0.961039,0.000016
112,0.526264,1.000000,0.645608,0.952381,0.000008
113,0.526678,0.999098,0.633286,0.961039,0.000008
114,0.525700,0.999098,0.639203,0.952381,0.000008
115,0.525220,0.999098,0.636091,0.952381,0.000008
116,0.526803,0.996393,0.641410,0.952381,0.000008
117,0.524831,0.999098,0.639650,0.956710,0.000008
118,0.524714,0.999098,0.637859,0.956710,0.000008
119,0.523274,0.999098,0.633279,0.956710,0.000008
120,0.526257,0.998197,0.641674,0.956710,0.000004
121,0.525321,0.999098,0.629735,0.961039,0.000004
122,0.524020,1.000000,0.638991,0.952381,0.000004
123,0.524450,0.999098,0.635753,0.956710,0.000004
124,0.521429,1.000000,0.630892,0.956710,0.000004
125,0.522121,0.999098,0.639183,0.956710,0.000004
126,0.522115,0.999098,0.634743,0.956710,0.000004
127,0.526186,0.998197,0.641284,0.961039,0.000004
128,0.523401,0.999098,0.635926,0.952381,0.000004
129,0.524872,0.997295,0.636737,0.956710,0.000002
130,0.521885,1.000000,0.629516,0.961039,0.000002
131,0.522652,0.999098,0.637866,0.952381,0.000002
132,0.523146,1.000000,0.636626,0.952381,0.000002
133,0.524892,0.999098,0.631894,0.956710,0.000002
134,0.524498,0.999098,0.643613,0.956710,0.000002
135,0.523591,1.000000,0.637013,0.961039,0.000002
136,0.526556,0.997295,0.636084,0.961039,0.000002
137,0.523551,0.997295,0.636765,0.952381,0.000002
138,0.521670,1.000000,0.633253,0.961039,0.000001
139,0.520114,1.000000,0.633608,0.961039,0.000001
140,0.531758,0.996393,0.635947,0.956710,0.000001
141,0.523681,1.000000,0.634087,0.961039,0.000001
142,0.524404,0.999098,0.630282,0.956710,0.000001
143,0.522034,0.999098,0.627754,0.956710,0.000001
144,0.521555,1.000000,0.630955,0.961039,0.000001
145,0.524232,0.998197,0.637108,0.956710,0.000001
146,0.522480,1.000000,0.647705,0.961039,0.000001
147,0.520217,0.999098,0.634692,0.961039,0.000001
148,0.521606,1.000000,0.631641,0.965368,0.000001
149,0.521337,0.999098,0.625773,0.961039,0.000001
