epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.509784,0.101894,2.308403,0.138528,0.000100
2,2.511867,0.092876,2.302717,0.134199,0.000100
3,2.511709,0.091975,2.297033,0.125541,0.000100
4,2.510231,0.083859,2.300573,0.129870,0.000100
5,2.499652,0.097385,2.280206,0.155844,0.000100
6,2.464575,0.107304,2.293338,0.121212,0.000100
7,2.439728,0.091975,2.267964,0.199134,0.000100
8,2.427839,0.118124,2.230397,0.173160,0.000100
9,2.400146,0.123535,2.231033,0.181818,0.000100
10,2.366292,0.117223,2.191431,0.177489,0.000100
11,2.389290,0.115419,2.141735,0.203463,0.000100
12,2.304421,0.166817,2.087933,0.285714,0.000100
13,2.287067,0.170424,2.037692,0.337662,0.000100
14,2.209913,0.225428,2.003736,0.324675,0.000100
15,2.169696,0.212804,1.970335,0.341991,0.000100
16,2.146152,0.240757,1.910362,0.389610,0.000100
17,2.093719,0.250676,1.851308,0.415584,0.000100
18,2.058741,0.296664,1.820379,0.458874,0.000100
19,2.026192,0.307484,1.751123,0.484848,0.000100
20,1.987184,0.320108,1.663292,0.497835,0.000100
21,1.955094,0.338142,1.695337,0.489177,0.000100
22,1.928682,0.348061,1.612731,0.567100,0.000100
23,1.872154,0.391344,1.605991,0.541126,0.000100
24,1.881348,0.394950,1.557067,0.562771,0.000100
25,1.852194,0.406673,1.523984,0.593074,0.000100
26,1.809866,0.424707,1.539104,0.575758,0.000100
27,1.739307,0.485122,1.437390,0.675325,0.000100
28,1.748782,0.468891,1.426778,0.666667,0.000100
29,1.711897,0.503156,1.401078,0.709957,0.000100
30,1.710524,0.486023,1.380278,0.718615,0.000100
31,1.656939,0.505861,1.343740,0.753247,0.000100
32,1.640728,0.528404,1.321669,0.753247,0.000100
33,1.609323,0.559964,1.295289,0.753247,0.000100
34,1.685234,0.513977,1.293269,0.761905,0.000100
35,1.658075,0.532011,1.265477,0.774892,0.000100
36,1.599812,0.577096,1.223396,0.792208,0.000100
37,1.543696,0.602344,1.362557,0.727273,0.000100
38,1.542214,0.587015,1.238630,0.766234,0.000100
39,1.541928,0.610460,1.256356,0.766234,0.000100
40,1.501775,0.623986,1.175038,0.818182,0.000100
41,1.509664,0.631199,1.264856,0.805195,0.000100
42,1.468072,0.639315,1.119475,0.852814,0.000100
43,1.459213,0.683499,1.140171,0.822511,0.000100
44,1.447153,0.666366,1.140433,0.822511,0.000100
45,1.439985,0.672678,1.255525,0.753247,0.000100
46,1.445185,0.650135,1.148887,0.818182,0.000100
47,1.387873,0.703336,1.072304,0.883117,0.000100
48,1.384383,0.693417,1.080409,0.852814,0.000100
49,1.412524,0.711452,1.040558,0.917749,0.000100
50,1.346303,0.715960,1.056291,0.896104,0.000100
51,1.310957,0.763751,1.070575,0.865801,0.000100
52,1.346965,0.717764,1.075454,0.904762,0.000100
53,1.341712,0.734896,0.989651,0.913420,0.000100
54,1.323302,0.720469,1.100908,0.822511,0.000100
55,1.291084,0.777277,1.026217,0.865801,0.000100
56,1.273797,0.780884,1.014326,0.904762,0.000100
57,1.290073,0.760144,1.023063,0.900433,0.000100
58,1.271790,0.772768,1.009680,0.904762,0.000100
59,1.274375,0.765555,1.032891,0.874459,0.000100
60,1.236068,0.779080,1.043735,0.878788,0.000100
61,1.222785,0.811542,0.965662,0.913420,0.000100
62,1.309813,0.752931,1.061437,0.865801,0.000100
63,1.226471,0.779080,0.909884,0.935065,0.000100
64,1.214594,0.805230,0.954468,0.922078,0.000100
65,1.230420,0.804328,0.959205,0.913420,0.000100
66,1.188739,0.816050,0.940085,0.935065,0.000100
67,1.234605,0.800721,0.929976,0.917749,0.000100
68,1.221131,0.801623,0.949957,0.935065,0.000100
69,1.193845,0.812444,0.929658,0.926407,0.000100
70,1.205147,0.806132,0.966068,0.917749,0.000100
71,1.139544,0.836790,0.994903,0.900433,0.000100
72,1.159002,0.825969,1.065484,0.878788,0.000100
73,1.161317,0.827773,0.996590,0.913420,0.000100
74,1.157613,0.813345,0.940553,0.922078,0.000050
75,1.124693,0.835888,0.897798,0.952381,0.000050
76,1.125021,0.845807,0.886561,0.965368,0.000050
77,1.119310,0.853021,0.905984,0.926407,0.000050
78,1.080969,0.869252,0.878948,0.939394,0.000050
79,1.058755,0.875564,0.877305,0.939394,0.000050
80,1.089601,0.875564,0.884234,0.943723,0.000050
81,1.034830,0.895401,0.868286,0.961039,0.000050
82,1.077984,0.868350,0.889278,0.943723,0.000050
83,1.052220,0.889089,0.918357,0.939394,0.000050
